問題文（動詞は( )で示す）	答え
Que ( faire )-vous si vous gagnez à la loterie ?	feriez
Je me demande s'il ( savoir ) la réponse exacte à cette question.	sait
Ils regrettaient que vous ( ne pas pouvoir ) venir à leur fête.	n'ayez pu
La personne ( chercher ) par la police est soupçonnée de vol à main armée.	recherchée
Je ( se souvenir ) qu'il m'avait dit cela.	me souviens
Bien que les preuves ( manquer ), il a été jugé coupable par le jury.	aient manqué
Nous ( commencer ) à travailler à huit heures ce matin.	avons commencé
Il est possible qu'il ( avoir ) raté le train, ce qui expliquerait son retard.	ait raté
Le film que nous ( voir ) hier était excellent.	avons vu
Les enfants ( crier ) et ( courir ) dans le parc sans arrêt.	criaient et couraient
Il a dit qu'il ( faire ) beau le jour de notre mariage.	ferait
Je ne veux pas qu'il ( s'en aller ) sans me dire au revoir.	s'en aille
Pourvu que tu ( trouver ) le chemin avant la nuit !	trouves
Si vous ( venir ) plus tôt, vous l'auriez rencontré.	étiez venu
La lettre ( envoyer ) par le directeur n'était pas signée.	envoyée
Je crains qu'il ( être ) malade ; il a l'air très pâle.	soit
Je l'ai entendu ( chanter ) dans la salle de bains ce matin.	chanter
Ce vélo est plus cher que je ( penser ).	ne le pensais
Il faut que tu ( savoir ) nager avant d'aller à la piscine.	saches
Elle ( promettre ) de m'écrire chaque semaine.	a promis
Au lieu de ( lire ), il regardait la télévision toute la soirée.	lire
Nous ne permettons pas qu'elle ( rester ) seule à cet âge.	reste
L'histoire ( inspirer ) le roman était une légende locale.	qui a inspiré / ayant inspiré
Si elle ( venir ) me voir demain, je serais très content.	venait
Il a fallu qu'il ( appeler ) les secours immédiatement après l'accident.	ait appelé
Hier, nous ( rester ) à la maison toute la journée à cause de la pluie.	sommes restés
Quoi qu'il ( dire ), je ne le croirai pas.	dise
La décision ( prendre ) par le comité est irrévocable.	prise
Je ne crois pas qu'il ( être ) honnête dans cette affaire.	soit
Il est peu probable qu'il ( revenir ) ce soir, il est en déplacement.	revienne
Le professeur ( expliquer ) la leçon quand la cloche a sonné.	expliquait
Après ( faire ) ses devoirs, il a joué aux jeux vidéo.	avoir fait
Je leur ai demandé ce qu'ils ( vouloir ).	voulaient
Le vent ( souffler ) fort depuis deux jours.	soufflait
Il vaut mieux qu'il ( ne pas savoir ) la vérité pour l'instant.	ne sache
Les arbres ( planter ) dans le parc ont grandi rapidement.	plantés
Nous ( souhaiter ) qu'elle revienne vite.	souhaitons
C'est le plus beau paysage que j' ( voir ) de ma vie.	aie jamais vu
Si tu le ( vouloir ), tu pourras y arriver.	veux
Elle est partie sans ( dire ) au revoir à personne.	dire
On craignait qu'il ( avoir ) un accident en rentrant tard.	ait eu
La pièce ( jouer ) était une comédie de Molière.	jouée
Dès qu'elle ( recevoir ) la lettre, elle m'a contacté.	eut reçu / a reçu
Il ( ne pas pouvoir ) venir, car il était malade.	ne pouvait pas
J'aurais aimé que vous ( être ) plus précis dans vos explications.	eussiez été / ayez été
