A（元の文）	B（書き換え文）	答え
Ce député s'est montré favorable à la politique étrangère du gouvernement.	Ce député s'est prononcé en ( ) de la politique étrangère du gouvernement.	faveur
Comment avez-vous été convaincu de votre succès ?	D'où vous est venue la ( ) de votre succès ?	conviction
Le docteur lui a conseillé de ne plus travailler excessivement.	Le docteur lui a dit : « Vous pouvez travailler, mais sans ( ).»	excès
Nous allons embarquer à 15 heures.	Notre ( ) est prévu pour 15 heures.	embarquement
On ne sait pas s'il guérira.	Nous ne sommes pas sûrs de sa ( ).	guérison
Faites cuire la viande pendant une heure.	Le temps de ( ) de la viande est d'une heure.	cuisson
Il faut être très adroit pour faire ce travail.	C'est un travail qui demande beaucoup d'( ).	adresse
Je me suis éloigné de lui parce qu'il m'a traité froidement.	B: La ( ) de son attitude m'a fait m'éloigner de lui.	froideur
Le pompier s'est brûlé au visage.	Le pompier s'est fait une ( ) au visage.	brûlure
Nous n'avons pas encore établi que l'accusé soit coupable.	La ( ) de l'accusé n'est pas encore établie.	culpabilité
Adèle est fort intelligente, but très modeste.	Quoique très intelligente, Adèle est d'une grande ( ).	modestie
C'est parce que le chauffeur a conduit négligemment que l'accident a eu lieu.	B: L'accident est dû à la ( ) du chauffeur.	négligence
Elle a énormément gagné à la loterie.	B: Elle a réalisé un ( ) énorme à la loterie.	gain
Il a déclaré au commissariat qu'il avait perdu son passeport.	Il a déclaré la ( ) de son passeport au commissariat.	perte
Le premier ministre a été embarrassé par les propos d'un député.	Les propos d'un député ont mis le premier ministre dans l'( ).	embarras
Ce qu’il dit est extravagant, c’est scandaleux.	B: On est choqué par l’( ) de ses propos.	extravagance
Elle a dit tout net son opinion.	B: Elle s’est exprimée avec ( ).	netteté
Il préfère le football à tous les autres sports.	B: En matière de sport, sa ( ) va au football.	préférence
Le bruit l’a fait sursauter de peur.	B: Quand il a entendu le bruit, il a eu un ( ) de peur.	sursaut
Qui ne voudrait pas prolonger ses vacances ?	B: La ( ) de ses vacances est un rêve pour tout le monde.	prolongation
Ayant écrit ce rapport précipitamment, il a oublié de parler de plusieurs choses.	B: Dans sa ( ) à ce rapport, il a omis de mentionner plusieurs choses.	précipitation
Cette moto a du mal à démarrer.	B: Le ( ) de cette moto est difficile.	démarrage
Il raisonne mal quand il s'agit de politique.	B: Son ( ) politique ne tient pas toujours debout.	raisonnement
Quoique vous ayez avoué, je ne peux pas vous pardonner.	B: Malgré vos ( ), vous êtes impardonnable.	aveux
Ses explications sur cette affaire n'étaient pas précises .	B: Il n'a pas expliqué cette affaire avec ( ).	précision
Je ne savais pas que cet acteur était décédé.	B: Je n'étais pas au courant du ( ) de cet auteur.	décès
Quand on lui parle, on doit se méfier de ce journaliste.	B: Il faut parler à ce journaliste avec ( ).	méfiance
Son visage disait qu'elle désapprouvait.	B: On pouvait lire la ( ) sur son visage.	désapprobation
Tout le monde admire son attitude ferme.	B: La ( ) de son attitude lui vaut une admiration unanime.	fermeté
Vous êtes trop fréquemment en retard.	B: La ( ) de vos retards est excessive.	fréquence
A l'époque, Marthe entravait toutes les actions de Marie.	A l'époque, Marthe mettait des ( ) à tout ce que faisait Marie.	entraves
Elle attendait anxieuse le retour de ses enfants.	Dans l'( ) elle attendait le retour de ses enfants.	anxiété
Il espère que vous l'appuierez.	Il compte sur votre ( ).	appui
Mon père a trouvé quelque chose d'amusant dans notre grenier.	Mon père a fait une ( ) amusante dans notre grenier.	trouvaille
On ne comprend pas son silence obstiné.	Son ( ) à se taire est inexplicable.	obstination
Je regrette qu'il ait réagi mollement à ma proposition.	La ( ) de sa réaction à ma proposition me déçoit.	mollesse
Notre société sera obligée de licencier une dizaine de personnes.	Notre société sera obligée de procéder au ( ) d'une dizaine de personnes.	licenciement
Selon eux, il est absolument opportun d'intervenir.	Ils croient absolument à l'( ) d'une intervention.	opportunité
Il est trop avare, ça m'énerve.	Son ( ) excessive m'énerve.	avarice
Vous arrivez ponctuellement au bureau et la directrice est contente.	La directrice est contente que vous arriviez au bureau avec ( ).	ponctualité
Il s'étonne d'avoir hérité d'une somme aussi énorme.	Il s'étonne de l'( ) de la somme dont il a hérité.	énormité
Ce garçon n'est pas très vif dans ses réactions.	Ce garçon n'a guère de ( ) dans ses réactions.	vivacité
On s'étonne que cet acteur ait été aussi franc dans le récit de sa vie privée.	On s'étonne de la grande ( ) avec laquelle cet acteur a raconté sa vie privée.	franchise
Son mari croit Marie aveuglément, c'est stupéfiant.	L'( ) de son mari à l'égard des propos de Marie est stupéfiant.	aveuglement
Les juges doivent être sereins dans l'examen des faits.	La ( ) des juges est requise dans l'examen des faits.	sérénité
Julie est tellement étourdie qu'on ne pourra pas lui confier ce travail.	Vu sa grande ( ), il ne faudra pas confier ce travail à Julie.	étourderie
L'horizon est très peu visible à cause du brouillard.	Le brouillard rend la ( ) de l'horizon très faible.	visibilité
Elle est très fière de la promotion de son mari.	Elle tire une grande ( ) de la promotion de son mari.	fierté
Le professeur se plaignait que les étudiants soient passifs.	Le professeur se plaignait de la ( ) des étudiants.	passivité
Les deux gouvernements reprendront les négociations après-demain.	La ( ) des négociations entre les deux gouvernements est prévue pour après-demain.	reprise
La réaction du gouvernement a été incroyablement "bête".	La réaction du gouvernement a été d'une ( ) incroyable.	bêtise
Mon grand-père a souvent plusieurs doigts "engourdis".	Mon grand-père souffre d'un ( ) fréquent de plusieurs doigts.	engourdissement
J’ai été stupéfaite de sa réponse	Sa réponse a provoqué ma ( ).	stupéfaction
